Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR_macro,FPR_macro,Precision_macro,AUC_macro,PR-Curve_macro,Training Time (sec),Inference Time (sec)
congressional-voting,DNDT,5,"{'cut_count': 7, 'cut_size': 1, 'epochs': 47, 'lr': 0.015432182378048095, 'temprature': 0.7063679499300235, 'num_class': 2}",0.568181818,0.462962963,0.537037037,0.297619048,0.525054466,0.503487306,0.449477,0.0026303
congressional-voting,DNDT,6,"{'cut_count': 4, 'cut_size': 1, 'epochs': 16, 'lr': 0.04078475675449024, 'temprature': 0.12797271553589146, 'num_class': 2}",0.418604651,0.519230769,0.480769231,0.702380952,0.485859729,0.514567455,0.0640079,0.0013217
congressional-voting,DNDT,7,"{'cut_count': 7, 'cut_size': 1, 'epochs': 59, 'lr': 0.0045283999834878595, 'temprature': 0.29972548811913974, 'num_class': 2}",0.441860465,0.528280543,0.471719457,0.580128205,0.5,0.503948784,0.5595208,0.0024774
congressional-voting,DNDT,8,"{'cut_count': 5, 'cut_size': 1, 'epochs': 13, 'lr': 0.03203649907854384, 'temprature': 0.4708617356570449, 'num_class': 2}",0.488372093,0.576923077,0.423076923,0.717948718,0.5,0.511766334,0.0722569,0.0016868
congressional-voting,DNDT,9,"{'cut_count': 6, 'cut_size': 1, 'epochs': 9, 'lr': 0.04997136536837358, 'temprature': 0.1475930964795033, 'num_class': 2}",0.465116279,0.561342593,0.438657407,0.619369369,0.525462963,0.541233321,0.0656685,0.0020447
congressional-voting,LGBMClassifier,1,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.613636364,0.521786492,0.478213508,0.5625,0.572984749,0.597374972,0.0111549,0.0004442
congressional-voting,LGBMClassifier,10,"{'learning_rate': 0.599217444125942, 'max_depth': 2, 'n_estimators': 183, 'reg_lambda': 0.46189287783598626, 'subsample': 0.546412034347899, 'num_leaves': 37}",0.627906977,0.512731481,0.487268519,0.567073171,0.537037037,0.557196336,0.0156187,0.0004812
congressional-voting,LGBMClassifier,2,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.613636364,0.510893246,0.489106754,0.55952381,0.656862745,0.633028306,0.1164902,0.0006097
congressional-voting,LGBMClassifier,3,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.636363636,0.529411765,0.470588235,0.813953488,0.645969499,0.656866772,0.0102484,0.0004291
congressional-voting,LGBMClassifier,4,"{'learning_rate': 0.2597236255198837, 'max_depth': 4, 'n_estimators': 96, 'reg_lambda': 8.326320323149597, 'subsample': 0.7273505261106861, 'num_leaves': 37}",0.545454545,0.455337691,0.544662309,0.394871795,0.518518519,0.516014396,0.0110425,0.0004339
